text,label
"Your OTP is 4567. Do not share with anyone",1
"Click here to verify your bank account immediately",1
"Your account is suspended. Update KYC now",1
"Send money urgently to this UPI ID",1
"You won a lottery of Rs.5 lakh. Claim now",1
"Congratulations! You won a free iPhone",1
"Click link and enter OTP to receive reward",1
"Dear user, your account will be blocked today. Act now",1
"Request received for UPI collect. Approve now",1
"Win cash reward instantly. Limited offer",1
"Claim your cashback now by clicking link",1
"Your bank account has been locked. Verify immediately",1
"Urgent: Unauthorized login detected. Send OTP to secure account",1
"You have won a prize. Pay Rs.1000 to claim",1
"Get 50% discount. Click now to avail offer",1
"Your PAN card will be blocked. Update details now",1

"Rs.500 debited from your account. Avl balance Rs.4500",0
"Rs.2000 credited to your account via NEFT",0
"Your A/C XXXX4527 debited with Rs.186. Avl bal Rs.227",0
"UPI payment of Rs.150 successful to ABC Store",0
"Transaction alert: Rs.300 spent using debit card",0
"Rs.1000 credited to your account by IMPS",0
"Your account balance is Rs.5000",0
"Payment of Rs.250 received via UPI",0
"Rs.1200 withdrawn from ATM. Available balance Rs.8000",0
"UPI transaction successful. Ref no 123456",0
"Your credit card bill of Rs.5000 is generated",0
"Minimum due Rs.500 payable by 10th April",0
"Rs.999 spent on your card at Amazon",0
"EMI of Rs.1500 deducted successfully",0
"Salary of Rs.25000 credited to your account",0
"Your account statement is ready to view",0
"Transaction declined due to insufficient balance",0
"Rs.186 debited. Not you? Call 1800XXXXXXX",0
"Alert: Rs.3000 credited to your account",0
"UPI collect request declined successfully",0

"Hey, are we meeting today?",0
"Call me when you are free",0
"Let's go out this weekend",0
"Did you complete the assignment?",0
"Happy birthday! Have a great day",0
"Send me the notes when possible",0
"I will transfer the money later",0
"Thanks for your help",0
"Meeting scheduled at 5 PM",0
"Your order has been delivered",0
